/home/rgundaka/miniconda3/envs/rishig/lib/python3.6/site-packages/torch/functional.py:445: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2157.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram (use `wandb login --relogin` to force relogin)
0
Weights loaded from /groups/tensorlab/rgundaka/code/PINO/CPINO/experiments/Darcy_cpino/checkpoints/darcy-cpino.pt
wandb: wandb version 0.12.16 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.10
wandb: Syncing run dandy-snowball-54
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO/runs/12yhokht
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/PINO/CPINO/experiments/Darcy_cpino/wandb/run-20220525_231651-12yhokht
wandb: Run `wandb offline` to turn off syncing.


  0% 0/500 [00:00<?, ?it/s]
Equation error: 1.66119, test l2 error: 0.05418640002608299:   0% 0/500 [00:00<?, ?it/s]
Equation error: 1.66119, test l2 error: 0.05418640002608299:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.51376, test l2 error: 0.06731174886226654:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 0.98362, test l2 error: 0.04483860358595848:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.00873, test l2 error: 0.1025242954492569:   0% 1/500 [00:00<01:59,  4.17it/s] 
Equation error: 1.68168, test l2 error: 0.152981236577034:   0% 1/500 [00:00<01:59,  4.17it/s] 
Equation error: 1.61783, test l2 error: 0.08480631560087204:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.22318, test l2 error: 0.06092442199587822:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 0.93751, test l2 error: 0.03859322890639305:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.51106, test l2 error: 0.1069742739200592:   0% 1/500 [00:00<01:59,  4.17it/s] 
Equation error: 1.56945, test l2 error: 0.05488422140479088:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.05354, test l2 error: 0.06294769793748856:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.36280, test l2 error: 0.08227947354316711:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.19514, test l2 error: 0.045521050691604614:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.06886, test l2 error: 0.060187600553035736:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.06886, test l2 error: 0.060187600553035736:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.24258, test l2 error: 0.1255427896976471:  25% 127/500 [00:00<00:02, 178.29it/s]  
Equation error: 1.02245, test l2 error: 0.05387755483388901:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.17424, test l2 error: 0.05707242712378502:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.25428, test l2 error: 0.05280737578868866:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.15948, test l2 error: 0.043387915939092636:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.09149, test l2 error: 0.06693851202726364:  25% 127/500 [00:00<00:02, 178.29it/s] 
Equation error: 1.18819, test l2 error: 0.08906427025794983:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.35685, test l2 error: 0.05485616624355316:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.43386, test l2 error: 0.0771629586815834:  25% 127/500 [00:00<00:02, 178.29it/s] 
Equation error: 1.32727, test l2 error: 0.07408823072910309:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.11854, test l2 error: 0.04792427271604538:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.20345, test l2 error: 0.1355268359184265:  25% 127/500 [00:00<00:02, 178.29it/s] 
Equation error: 1.22575, test l2 error: 0.04335006698966026:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.67850, test l2 error: 0.15253208577632904:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.50422, test l2 error: 0.08598057180643082:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.30327, test l2 error: 0.07671341300010681:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.01845, test l2 error: 0.035075169056653976:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.09026, test l2 error: 0.05507037416100502:  25% 127/500 [00:00<00:02, 178.29it/s] 
Equation error: 1.24792, test l2 error: 0.09686620533466339:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.19518, test l2 error: 0.05107756331562996:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.34548, test l2 error: 0.05696571245789528:  25% 127/500 [00:00<00:02, 178.29it/s]
Equation error: 1.09503, test l2 error: 0.05177533999085426:  25% 127/500 [00:00<00:02, 178.29it/s]
